,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,100.0,NZ,1620708896.0,89.0,-46.1927,168.8643,46.0,11.01
1,onega,100.0,RU,1620708897.0,89.0,63.9061,38.1404,49.15,8.63
2,hasaki,75.0,JP,1620708897.0,59.0,35.7333,140.8333,66.0,6.91
3,bluff,100.0,NZ,1620708897.0,89.0,-46.6,168.3333,46.0,11.01
4,salta,90.0,AR,1620708846.0,100.0,-24.7859,-65.4117,51.8,3.44
5,alhandra,0.0,BR,1620708898.0,94.0,-7.4386,-34.9144,73.4,5.75
6,ragonvalia,49.0,CO,1620708898.0,87.0,7.5775,-72.4757,59.68,6.17
7,butaritari,65.0,KI,1620708728.0,80.0,3.0707,172.7902,81.59,13.06
8,mehamn,0.0,NO,1620708801.0,81.0,71.0357,27.8492,37.4,10.36
9,arraial do cabo,0.0,BR,1620708551.0,82.0,-22.9661,-42.0278,66.2,6.91
10,port elizabeth,75.0,ZA,1620708730.0,88.0,-33.918,25.5701,60.8,14.97
11,gunjur,40.0,GM,1620708898.0,100.0,13.2019,-16.7339,66.2,10.36
12,corn island,21.0,NI,1620708899.0,81.0,12.1694,-83.0418,81.23,21.03
13,dravograd,10.0,SI,1620708899.0,87.0,46.5881,15.0192,57.0,1.01
14,borogontsy,95.0,RU,1620708899.0,46.0,62.6683,131.1683,57.18,2.89
15,ushuaia,40.0,AR,1620708735.0,53.0,-54.8,-68.3,50.0,25.32
16,kemijarvi,100.0,FI,1620708899.0,99.0,66.7131,27.4306,37.13,7.38
17,luwuk,99.0,ID,1620708766.0,69.0,-0.9516,122.7875,85.46,7.02
18,haines junction,100.0,CA,1620708900.0,53.0,60.7522,-137.5108,44.6,9.22
19,muros,52.0,ES,1620708900.0,95.0,42.7762,-9.0603,46.99,12.24
21,sechura,11.0,PE,1620708901.0,78.0,-5.5569,-80.8222,68.13,11.59
22,rikitea,100.0,PF,1620708901.0,75.0,-23.1203,-134.9692,77.92,27.02
23,hobart,40.0,AU,1620708901.0,40.0,-42.8794,147.3294,53.01,8.05
24,port blair,40.0,IN,1620708902.0,84.0,11.6667,92.75,87.8,8.05
25,east london,0.0,ZA,1620708902.0,94.0,-33.0153,27.9116,53.6,4.61
26,vaini,75.0,TO,1620708739.0,73.0,-21.2,-175.2,77.0,10.36
27,hilo,75.0,US,1620708817.0,65.0,19.7297,-155.09,78.8,6.91
28,punta arenas,40.0,CL,1620708658.0,57.0,-53.15,-70.9167,48.2,13.8
30,albany,87.0,US,1620708751.0,78.0,42.6001,-73.9662,46.0,5.46
31,kapaa,40.0,US,1620708727.0,73.0,22.0752,-159.319,77.0,14.97
32,yamada,69.0,JP,1620708903.0,69.0,39.4667,141.95,57.22,2.21
33,busselton,75.0,AU,1620708719.0,57.0,-33.65,115.3333,73.0,3.0
34,berlevag,0.0,NO,1620708903.0,81.0,70.8578,29.0864,37.4,10.36
35,hithadhoo,99.0,MV,1620708903.0,70.0,-0.6,73.0833,85.08,9.53
36,saint-georges,20.0,GD,1620708904.0,78.0,12.0564,-61.7485,80.6,21.85
37,coquimbo,0.0,CL,1620708796.0,93.0,-29.9533,-71.3436,51.8,3.44
38,jamestown,90.0,US,1620708902.0,81.0,42.097,-79.2353,41.0,5.75
39,vostok,75.0,RU,1620708904.0,45.0,46.4856,135.8833,50.14,7.36
40,bredasdorp,0.0,ZA,1620708904.0,88.0,-34.5322,20.0403,55.4,5.75
41,wonthaggi,98.0,AU,1620708905.0,78.0,-38.6044,145.5913,59.0,15.9
42,cidreira,100.0,BR,1620708905.0,92.0,-30.1811,-50.2056,62.53,9.53
43,aklavik,100.0,CA,1620708905.0,60.0,68.2191,-135.0107,39.2,9.22
44,atambua,58.0,ID,1620708675.0,50.0,-9.1061,124.8925,82.6,2.48
45,qaanaaq,100.0,GL,1620708905.0,86.0,77.484,-69.3632,15.44,5.73
46,taltal,100.0,CL,1620708906.0,76.0,-25.4,-70.4833,64.06,3.78
47,tasiilaq,90.0,GL,1620708906.0,93.0,65.6145,-37.6368,24.8,8.05
48,srednekolymsk,98.0,RU,1620708906.0,77.0,67.45,153.6833,28.81,6.53
49,husavik,90.0,IS,1620708906.0,69.0,66.0449,-17.3389,30.2,3.44
50,trelew,2.0,AR,1620708907.0,47.0,-43.249,-65.3051,48.42,7.14
51,hermanus,0.0,ZA,1620708907.0,95.0,-34.4187,19.2345,54.0,2.04
52,port hardy,75.0,CA,1620708967.0,81.0,50.6996,-127.4199,48.2,6.91
53,yellowknife,75.0,CA,1620708967.0,80.0,62.456,-114.3525,32.0,13.8
54,ilulissat,75.0,GL,1620708780.0,93.0,69.2167,-51.1,30.2,5.75
55,kodiak,90.0,US,1620708968.0,87.0,57.79,-152.4072,41.0,6.91
56,isla aguada,12.0,MX,1620708968.0,62.0,18.7833,-91.4667,83.91,19.84
57,chuy,100.0,UY,1620708968.0,75.0,-33.6971,-53.4616,50.27,8.23
58,cabo san lucas,98.0,MX,1620708969.0,69.0,22.8909,-109.9124,82.0,12.86
59,mount gambier,75.0,AU,1620708806.0,67.0,-37.8333,140.7667,55.4,14.97
60,wanning,30.0,CN,1620708969.0,59.0,18.8003,110.3967,89.64,16.04
61,vila velha,0.0,BR,1620708827.0,94.0,-20.3297,-40.2925,69.01,2.3
62,kedrovyy,0.0,RU,1620708969.0,31.0,56.1667,91.8167,62.6,11.18
63,visnes,0.0,NO,1620708778.0,81.0,59.3556,5.2242,50.0,19.57
64,barrow,90.0,US,1620708969.0,86.0,71.2906,-156.7887,19.4,12.66
65,vao,71.0,NC,1620708970.0,82.0,-22.6667,167.4833,75.94,19.42
66,abu samrah,0.0,SY,1620708970.0,36.0,35.3029,37.1841,69.44,3.96
67,kavieng,59.0,PG,1620708970.0,72.0,-2.5744,150.7967,82.72,2.15
68,bathsheba,40.0,BB,1620708971.0,65.0,13.2167,-59.5167,78.8,20.71
69,bulgan,29.0,MN,1620708971.0,33.0,48.8125,103.5347,49.06,6.29
70,ullapool,94.0,GB,1620708972.0,77.0,57.8987,-5.1604,50.0,10.0
71,gamba,98.0,GA,1620708856.0,89.0,-2.65,10.0,75.99,2.46
72,esperance,40.0,AU,1620708734.0,73.0,-33.8667,121.9,68.0,14.97
73,belaya gora,100.0,RU,1620708802.0,73.0,68.5333,146.4167,28.58,6.08
74,cherskiy,96.0,RU,1620708973.0,81.0,68.75,161.3,29.34,4.56
75,port hawkesbury,1.0,CA,1620708973.0,93.0,45.6169,-61.3485,39.0,4.61
76,kaniama,76.0,CD,1620708973.0,79.0,-7.5667,24.1833,63.01,3.62
77,mandera,85.0,KE,1620708974.0,52.0,3.9366,41.867,81.16,15.61
78,nanortalik,50.0,GL,1620708731.0,78.0,60.1432,-45.2371,36.99,3.2
80,liyang,100.0,CN,1620708974.0,95.0,29.7057,118.2862,72.18,2.95
81,meulaboh,88.0,ID,1620708975.0,68.0,4.1363,96.1285,86.05,5.1
82,santa cruz del sur,1.0,CU,1620708975.0,79.0,20.7147,-77.9956,76.44,8.79
83,puerto ayora,6.0,EC,1620708975.0,95.0,-0.7393,-90.3518,75.0,6.02
84,pangnirtung,98.0,CA,1620708975.0,95.0,66.1451,-65.7125,25.75,1.34
85,lukulu,0.0,ZM,1620708976.0,68.0,-14.3707,23.242,54.86,4.99
