,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,lebu,12.0,CL,1620542425.0,91.0,-37.6167,-73.65,52.88,12.73
1,puerto ayora,59.0,EC,1620542478.0,93.0,-0.7393,-90.3518,75.0,5.01
2,faanui,100.0,PF,1620542478.0,74.0,-16.4833,-151.75,80.6,8.48
3,upernavik,100.0,GL,1620542479.0,96.0,72.7868,-56.1549,25.05,3.38
4,atuona,11.0,PF,1620542479.0,71.0,-9.8,-139.0333,80.28,17.63
5,haines junction,100.0,CA,1620542479.0,61.0,60.7522,-137.5108,42.8,3.44
6,kodiak,90.0,US,1620542480.0,81.0,57.79,-152.4072,44.6,5.75
7,amderma,3.0,PF,1620542480.0,74.0,-23.1203,-134.9692,78.78,8.23
8,rikitea,98.0,RU,1620542480.0,39.0,60.05,69.9,62.74,7.9
9,gornopravdinsk,90.0,US,1620542481.0,86.0,71.2906,-156.7887,17.6,16.11
10,barrow,100.0,RU,1620542481.0,92.0,71.9167,114.0833,31.19,19.15
11,saskylakh,100.0,NZ,1620542481.0,88.0,-46.6,168.3333,54.0,4.12
12,bluff,75.0,TO,1620542482.0,69.0,-21.2,-175.2,75.2,14.97
13,nizhneyansk,100.0,VE,1620542482.0,99.0,9.0622,-62.051,72.72,2.42
14,vaini,20.0,ZA,1620542226.0,93.0,-33.9258,18.4232,57.0,3.44
15,sentyabrskiy,52.0,PE,1620542482.0,89.0,-11.0964,-77.6139,64.53,7.9
16,tucupita,13.0,MN,1620542482.0,16.0,46.6806,113.2792,61.93,9.19
17,cape town,100.0,US,1620542483.0,62.0,42.6001,-73.9662,46.99,4.0
18,hualmay,20.0,PT,1620542483.0,72.0,37.7167,-25.4333,57.2,6.91
19,baruun-urt,0.0,AR,1620542483.0,70.0,-54.8,-68.3,42.8,4.61
20,albany,9.0,MX,1620542483.0,71.0,17.4833,-91.4333,78.31,12.03
21,vila franca do campo,100.0,RU,1620542484.0,82.0,50.06,43.2379,60.98,11.12
22,ushuaia,90.0,CA,1620542484.0,100.0,47.6666,-52.7314,39.99,20.71
23,tenosique,40.0,CL,1620542484.0,87.0,-53.15,-70.9167,41.0,8.05
24,tarudant,0.0,US,1620542485.0,86.0,36.6177,-121.9166,54.0,5.32
25,mikhaylovka,75.0,CK,1620542485.0,73.0,-21.2078,-159.775,73.4,10.36
26,torbay,93.0,CA,1620542485.0,98.0,69.4541,-133.0374,22.48,6.06
27,punta arenas,90.0,FR,1620542486.0,100.0,48.5833,-4.0,57.2,9.22
28,pacific grove,0.0,AU,1620542486.0,59.0,-34.7333,135.8667,62.76,15.64
29,avarua,90.0,ZA,1620542486.0,82.0,-34.5322,20.0403,55.4,6.91
30,tuktoyaktuk,90.0,US,1620542486.0,78.0,19.7297,-155.09,75.2,3.44
31,morlaix,0.0,CL,1620542487.0,81.0,-35.3333,-72.4167,53.33,6.64
32,barentsburg,79.0,MV,1620542487.0,69.0,-0.6,73.0833,85.06,6.8
33,port lincoln,18.0,AR,1620542487.0,57.0,-43.3002,-65.1023,55.47,12.28
34,bredasdorp,90.0,US,1620542274.0,83.0,29.3669,-94.9669,77.0,21.85
35,hilo,83.0,RU,1620542488.0,92.0,66.6572,66.4183,38.64,3.18
36,constitucion,6.0,RU,1620542488.0,69.0,73.5069,80.5464,28.99,5.12
37,hithadhoo,98.0,AR,1620542488.0,60.0,-40.8135,-62.9967,55.63,17.78
38,rawson,75.0,IE,1620542488.0,93.0,51.55,-9.2667,50.0,20.71
39,galveston,90.0,CA,1620542350.0,93.0,50.0501,-110.6683,37.0,9.22
40,labytnangi,40.0,MY,1620542374.0,70.0,5.4112,100.3354,89.6,10.36
41,dikson,14.0,RU,1620542489.0,89.0,65.5833,-171.0,25.02,6.55
42,cagayan de tawi-tawi,100.0,NZ,1620542489.0,81.0,-38.3667,178.3,61.41,5.32
43,viedma,53.0,PG,1620542489.0,75.0,-3.6667,152.4333,83.12,12.26
44,skibbereen,6.0,MX,1620542490.0,7.0,30.4833,-115.95,48.99,3.0
45,medicine hat,40.0,AU,1620542490.0,52.0,-37.8333,140.7667,64.4,14.97
46,georgetown,95.0,GL,1620542490.0,75.0,68.8193,-51.1922,24.03,5.23
47,lavrentiya,100.0,NG,1620542491.0,96.0,5.5167,5.75,74.61,3.02
48,tolaga bay,0.0,FI,1620542491.0,56.0,64.2273,27.7285,41.0,6.91
49,namatanai,40.0,RU,1620542492.0,87.0,48.0448,40.045,48.2,20.13
50,san quintin,65.0,US,1620542492.0,85.0,41.1668,-74.0496,44.01,6.02
51,mount gambier,100.0,RU,1620542492.0,90.0,71.6872,128.8694,30.63,13.04
52,qasigiannguit,5.0,BW,1620542492.0,35.0,-18.3667,21.85,70.41,6.78
53,shchelyayur,0.0,MR,1620542493.0,25.0,20.5169,-13.0499,76.19,11.54
54,warri,75.0,US,1620542493.0,83.0,28.017,-97.5169,80.6,21.85
55,kajaani,90.0,US,1620542469.0,81.0,57.0531,-135.33,48.2,4.61
56,almaznyy,100.0,RU,1620542493.0,57.0,52.6333,126.75,45.43,4.72
57,rockland,99.0,BR,1620542494.0,92.0,-24.7911,-50.0119,51.67,9.66
58,tiksi,100.0,NZ,1620542494.0,88.0,-46.1927,168.8643,54.0,0.98
59,shakawe,1.0,US,1620542494.0,21.0,39.5138,-121.5564,73.4,17.27
60,atar,0.0,AU,1620542495.0,65.0,-24.8667,113.6333,78.8,14.97
61,san patricio,92.0,AO,1620542495.0,83.0,-13.7333,15.0667,64.13,3.29
62,sitka,6.0,FI,1620542495.0,71.0,66.7131,27.4306,37.89,6.42
63,sivaki,85.0,AU,1620542495.0,79.0,-33.65,115.3333,64.99,1.01
64,castro,1.0,US,1620542496.0,87.0,42.097,-79.2353,37.4,6.91
65,mataura,20.0,US,1620542496.0,73.0,22.0752,-159.319,75.2,14.97
66,oroville,13.0,RU,1620542497.0,91.0,69.7008,170.3133,17.8,3.36
67,carnarvon,90.0,GB,1620542497.0,87.0,60.1545,-1.1494,42.8,32.21
68,caconda,75.0,CA,1620542497.0,61.0,65.282,-126.8329,42.8,11.5
